Brekkvasselv;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5044 Namsskogan
Brekstad;Godkjent;01/07/1991;Norsk;By;Kommune;5057 Ørland
Brenna;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5058 Åfjord
Brenneriroa;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3412 Løten
Brennvika;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4203 Arendal
Brennåsen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4204 Kristiansand
Brevik;Godkjent;01/07/1991;Norsk;By;Kommune;3806 Porsgrunn
Brokelandsheia;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4211 Gjerstad
Brua;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3811 Færder
Bruflat;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3450 Etnedal
Bruhagen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1554 Averøy
Brumunddal;Godkjent;01/07/1991;Norsk;By;Kommune;3411 Ringsaker
Brunkeberg;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3821 Kviteseid
Brusand;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1119 Hå
Bruvik;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4630 Osterøy
Bryne;Godkjent;01/07/1991;Norsk;By;Kommune;1121 Time
Brødlaus;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3820 Seljord
Brønnøysund;Godkjent;01/07/1991;Norsk;By;Kommune;1813 Brønnøy
Brånås;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3030 Lillestrøm
Brårud;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3034 Nes
Bud;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1579 Hustadvika
Budal;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3811 Færder
Bugøynes;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5444 Sør-Varanger
Buhølen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4205 Lindesnes
Burfjord;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5429 Kvænangen
Buvika;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5029 Skaun
Bybrua;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3407 Gjøvik
Byglandsfjord;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4220 Bygland
Bygstad;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4647 Sunnfjord
Byhaugen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Byrknes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4635 Gulen
Byskogen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3805 Larvik
Bærums verk;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3024 Bærum
Bø;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1867 Bø
Bø;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3815 Drangedal
Bø;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3817 Midt-Telemark
Bødalen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3025 Asker
Bøle;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3807 Skien
Bøn;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3035 Eidsvoll
